"id","phase","priority","wave","area","title","description","refs","source","notes"
"0.1","0","P0","0","policy","固化最高约束","后续修复不得大改现有 UI 结构，只允许调整数据绑定、状态处理和必要的局部展示","openspec/changes/close-frontend-backend-integration-gaps/proposal.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 0.1"
"0.2","0","P0","0","policy","固化“后端适配前端消费 DTO”原则，明确不得以改前端视觉结构或页面层字段猜测来解决接口漂移","固化“后端适配前端消费 DTO”原则，明确不得以改前端视觉结构或页面层字段猜测来解决接口漂移","openspec/changes/close-frontend-backend-integration-gaps/proposal.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 0.2"
"0.3","0","P0","0","policy","统一关键接口成功 / 空态 / 失败响应语义，并形成可执行 DTO 契约清单","统一关键接口成功 / 空态 / 失败响应语义，并形成可执行 DTO 契约清单","openspec/changes/close-frontend-backend-integration-gaps/proposal.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 0.3"
"0.4","0","P0","0","policy","修正 `RiskPage` 与 `/api/risk/trend` 的字段契约错误，统一趋势数值字段为 `value` 并补自动化校验","修正 `RiskPage` 与 `/api/risk/trend` 的字段契约错误，统一趋势数值字段为 `value` 并补自动化校验","openspec/changes/close-frontend-backend-integration-gaps/proposal.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 0.4"
"0.5","0","P0","0","policy","定义 `/api/simulation/account` 最小 DTO 字段集，并核对 Trading / Dashboard 相关资产展示的消费契约","定义 `/api/simulation/account` 最小 DTO 字段集，并核对 Trading / Dashboard 相关资产展示的消费契约","openspec/changes/close-frontend-backend-integration-gaps/proposal.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 0.5"
"0.6","0","P0","0","policy","打通 JWT current user 到 profile、agent、notification 的真实用户闭环，移除 `user_id=1` 和固定 profile 用户假设","打通 JWT current user 到 profile、agent、notification 的真实用户闭环，移除 `user_id=1` 和固定 profile 用户假设","openspec/changes/close-frontend-backend-integration-gaps/proposal.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 0.6"
"0.7","0","P0","0","policy","清理 Dashboard、Risk、Trading、Backtesting、AI Insights、Settings 中会掩盖真实问题的 fallback / demo / mock 业务数据，并建立主流程冒烟检查","清理 Dashboard、Risk、Trading、Backtesting、AI Insights、Settings 中会掩盖真实问题的 fallback / demo / mock 业务数据，并建立主流程冒烟检查","openspec/changes/close-frontend-backend-integration-gaps/proposal.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 0.7"
"1.1","1","P1","1","config","收敛 `quartsys-fronted/src/api.ts` 的 API 基址解析逻辑，改为显式配置优先并限制本地开发兜底范围","收敛 `quartsys-fronted/src/api.ts` 的 API 基址解析逻辑，改为显式配置优先并限制本地开发兜底范围","openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 1.1"
"1.2","1","P1","1","config","统一日志和辅助请求也走 `quartsys-fronted/src/api.ts` 或共享 client 封装，消除 Settings 页直接 `fetch` 带来的联接分叉","统一日志和辅助请求也走 `quartsys-fronted/src/api.ts` 或共享 client 封装，消除 Settings 页直接 `fetch` 带来的联接分叉","openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 1.2"
"1.3","1","P1","1","config","清理 `quartsys-fronted/.env.example`、`quartsys-fronted/README.md` 中的真实密钥和误导性默认地址，改为安全占位值","清理 `quartsys-fronted/.env.example`、`quartsys-fronted/README.md` 中的真实密钥和误导性默认地址，改为安全占位值","openspec/changes/close-frontend-backend-integration-gaps/specs/integration-config-hardening/spec.md;openspec/changes/close-frontend-backend-integration-gaps/design.md","openspec/changes/close-frontend-backend-integration-gaps/tasks.md","OpenSpec task 1.3"
