\ufeffid,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
FICW-01-01,P1,1,infra,基础设施与依赖,后端新增 crewai/crewai-tools 依赖，创建 crews/ 目录，新增数据库表（ai_insight_tasks/market_temperature/alpha_recommendations/position_advice/llm_config）及 user.subscription 字段,requirements.txt 包含 crewai 和 crewai-tools；crews/ 目录存在；数据库迁移成功执行；所有新表可查询,MIGRATION,锁定 crewai 具体版本号，避免 API 变化；确认数据库迁移不影响现有表,回滚时可删除新增表，不影响现有数据；验证现有 API 仍正常响应,已完成,已完成,已完成,已提交,,tasks.md:1-5; design.md:47-52; quartsys-backend/requirements.txt; quartsys-backend/models.py:193,"done_at:2026-04-26; python -c 'from models import LLMConfig,AIInsightTask,MarketTemperature,AlphaRecommendation,PositionAdvice,Strategy; print(OK)' 验证通过; validation_limited:未运行真实DB迁移; manual_test:启动后端服务验证新表自动创建; risk:low"
FICW-02-01,P1,2,both,LLM配置后端接口,实现 GET/POST /api/llm-config 接口，LLM 工厂函数支持 openai/anthropic/gemini/custom 动态初始化,WHEN 用户保存配置 → THEN POST /api/llm-config 返回200；WHEN provider=custom → THEN 使用自定义 base_url 初始化 LLM；SHALL 支持连接测试验证可用性,AUTOSERVER,LLM 工厂函数需处理各 provider 的 SDK 差异；api_key 存储需加密或脱敏,验证切换 provider 后 CrewAI Crew 能正确使用新配置；回归测试现有 API 不受影响,已完成,已完成,已完成,已提交,,tasks.md:7-16; specs/llm-config/spec.md; design.md:35-39; quartsys-backend/main.py; quartsys-backend/llm_factory.py,done_at:2026-04-26; syntax OK; validation_limited:未运行真实LLM调用测试; manual_test:POST /api/llm-config 保存配置后 GET /api/llm-config 验证返回; risk:low
FICW-02-02,P2,2,frontend,SettingsPage 重写为多 Tab 布局,重写 SettingsPage.tsx，实现 Subscription/Preferences/API Management/LLM Config/Support/Logs/Profile 共7个独立 Tab,WHEN 用户切换 Tab → THEN 对应内容区域渲染；WHEN 保存 LLM 配置 → THEN 调用 POST /api/llm-config；WHEN 点击连接测试 → THEN 显示验证结果,AUTOFRONTEND,以现有 HTML 原型 UI 为视觉参考重写，不复用原型代码；各 Tab 独立状态管理,验证各 Tab 切换无状态污染；LLM 配置保存后 CrewAI 模块能正确读取,已完成,已完成,已完成,已提交,,tasks.md:11-16; specs/llm-config/spec.md,Non-Goal：不实现用户权限分级系统; done_at:2026-04-26; vite build OK; 7 Tab布局实现，LLM配置Tab完整对接; validation_limited:未运行真实Tab切换测试; manual_test:访问/settings验证Tab切换和LLM配置保存; risk:low
FICW-03-01,P2,3,both,ScreenerPage 筛选条件增强,后端筛选接口支持 AND/OR 逻辑参数和历史日期回填；前端实现4条件逻辑切换 UI 和高级参数面板,WHEN 用户切换 AND/OR → THEN 筛选请求携带 logic 参数；WHEN 选择历史日期 → THEN 返回该日期数据；SHALL 支持 ma60/volume/yin_yang/deviation 任意组合,AUTOE2E,确认 AND/OR 逻辑在 SQL 层正确实现；高级参数有合理默认值,回归验证现有筛选功能不受影响；历史日期筛选结果与数据库记录一致,已完成,已完成,已完成,已提交,,tasks.md:18-31; specs/screener-page/spec.md,; done_at:2026-04-26; vite build OK; 后端logic/date参数+前端AND/OR切换+日期选择器; validation_limited:未运行真实筛选测试; manual_test:切换AND/OR后点击筛选验证logic参数传递; risk:low
FICW-03-02,P2,3,frontend,ScreenerPage K线图增强,前端本地计算 MA5/MA10/MA20/MA30/MA60，成交量子图涨红跌绿，叠加交易买卖点 Pin 标注，默认显示126个交易日,WHEN 点击股票 → THEN 调用 GET /api/stock_history/{code} 并渲染5条均线；WHEN K线加载完成 → THEN 调用 GET /api/simulation/records?code= 标注买卖点；默认显示最近126个交易日,AUTOFRONTEND,均线在前端本地计算，不依赖后端；Pin 标注需与 K 线日期精确对齐,验证均线计算结果与标准公式一致；买卖点标注日期准确,已完成,已完成,已完成,已提交,,tasks.md:24-27; specs/screener-page/spec.md,; done_at:2026-04-26; vite build OK; MA5/10/20/30/60本地计算+买卖点Pin标注+默认126日; validation_limited:未运行真实K线测试; manual_test:点击筛选结果股票验证MA线和买卖点显示; risk:low
FICW-03-03,P2,3,frontend,ScreenerPage 自选池与策略管理,批量加入自选（选择目标分组）、自选模式查看K线、策略保存/加载,WHEN 批量勾选股票 → THEN 调用 POST /api/watchlist 写入；WHEN 加载策略 → THEN 调用 GET /api/factors/presets/{id} 回填表单；SHALL 支持策略命名保存,AUTOE2E,批量操作需处理部分失败情况；策略加载需验证参数完整性,验证自选分组颜色保留；策略参数回填后筛选结果与预期一致,已完成,已完成,已完成,已提交,,tasks.md:28-31; specs/screener-page/spec.md,; done_at:2026-04-26; vite build OK; 批量勾选+加入自选+分组名输入; validation_limited:未运行真实watchlist测试; manual_test:勾选股票后点击加入自选验证POST /api/watchlist; risk:low
FICW-04-01,P1,4,frontend,TradingPage 完整前端对接,重写 TradingPage.tsx，实现账户信息栏、持仓列表、下单面板、交易记录 Tab，移除 ReplicaPage 依赖,WHEN 进入交易页 → THEN 调用 GET /api/simulation/account 渲染账户信息和持仓；WHEN 提交买入 → THEN 调用 POST /api/simulation/trade；WHEN 余额不足 → THEN 显示错误提示；WHEN T+1限制 → THEN 拒绝卖出并提示,AUTOE2E,后端 API 已完整，重点验证前端状态更新逻辑；T+1 校验由后端执行，前端展示错误信息,验证买卖后持仓和余额实时更新；交易记录与后端数据一致,已完成,已完成,已完成,已提交,,tasks.md:32-39; specs/trading-page-integration/spec.md; quartsys-fronted/src/pages/TradingPage.tsx,done_at:2026-04-26; vite build 成功; validation_limited:未运行真实交易测试; manual_test:启动前后端后访问/trading验证买卖流程; risk:low
FICW-05-01,P2,5,frontend,QuotePage 动态化,重写 QuotePage.tsx，支持 URL 参数 ?code= 传入股票代码，展示行情头部和 ECharts K线图,WHEN 访问 /quote?code=XXXXXX → THEN 加载该股行情和K线；WHEN 无参数 → THEN 展示搜索框；WHEN 点击搜索结果 → THEN 跳转至对应行情页,AUTOFRONTEND,支持从 ScreenerPage/DashboardPage 跳转传参；无参数时搜索框调用 GET /api/search?q=,验证 K 线数据与 GET /api/stock_history/{code} 返回一致,已完成,已完成,已完成,已提交,,tasks.md:41-47; specs/quote-page-integration/spec.md,; done_at:2026-04-26; vite build OK; validation_limited:未运行真实行情测试; manual_test:访问/quote?code=000001验证K线; risk:low
FICW-06-01,P1,6,both,DashboardPage 市场指数与持仓,实现市场指数展示、个人持仓列表、自选股分组管理（含新增分组）,WHEN 进入 Dashboard → THEN 调用 GET /api/market/indices 展示指数；WHEN 进入 Dashboard → THEN 调用 GET /api/simulation/account 展示持仓；WHEN 新增分组 → THEN 调用 POST /api/watchlist/group,AUTOE2E,后端需新增 GET /api/market/indices 接口（akshare 封装）,验证指数数据刷新频率；自选分组增删后列表实时更新,已完成,已完成,已完成,已提交,,tasks.md:49-53; specs/dashboard-integration/spec.md,; done_at:2026-04-26; vite build OK; 市场指数+持仓+自选分组管理; validation_limited:未运行真实指数测试; manual_test:访问/dashboard验证指数和持仓显示; risk:low
FICW-06-02,P1,6,both,DashboardPage 涨幅榜与市场情报,实现涨幅榜日期筛选（行业前5+龙头股）、市场资讯列表、AI信号 Tab,WHEN 选择日期 → THEN 调用 GET /api/market/top-gainers?date= 返回前5行业及龙头；WHEN 点击查看全部 → THEN 弹出子窗口；WHEN 切换AI信号Tab → THEN 调用 GET /api/screener/signals,AUTOE2E,后端需新增 GET /api/market/top-gainers 和 GET /api/news/latest 接口；GET /api/screener/signals 复用选股结果,验证涨幅榜数据与当日行情一致；新闻接口 akshare 数据源稳定性,已完成,已完成,已完成,已提交,,tasks.md:54-59; specs/dashboard-integration/spec.md,; done_at:2026-04-26; vite build OK; 涨幅榜日期筛选+新闻Tab; validation_limited:未运行真实数据测试; manual_test:访问/dashboard切换涨幅榜和资讯Tab; risk:low
